,Date,Open,High,Low,Close,Adj Close,Volume
0,2022-08-01,4112.379883,4144.950195,4096.02002,4118.629883,4118.629883,4202810000
1,2022-08-02,4104.209961,4140.470215,4079.810059,4091.189941,4091.189941,4727710000
2,2022-08-03,4107.959961,4167.660156,4107.959961,4155.169922,4155.169922,4351760000
3,2022-08-04,4154.850098,4161.290039,4135.419922,4151.939941,4151.939941,4283320000
4,2022-08-05,4115.870117,4151.580078,4107.310059,4145.189941,4145.189941,4085940000
5,2022-08-08,4155.930176,4186.620117,4128.970215,4140.060059,4140.060059,4221090000
6,2022-08-09,4133.109863,4137.299805,4112.089844,4122.470215,4122.470215,3913090000
7,2022-08-10,4181.02002,4211.029785,4177.259766,4210.240234,4210.240234,4546010000
8,2022-08-11,4227.399902,4257.910156,4201.410156,4207.27002,4207.27002,4630200000
9,2022-08-12,4225.02002,4280.470215,4219.779785,4280.149902,4280.149902,3788010000
10,2022-08-15,4269.370117,4301.790039,4256.899902,4297.140137,4297.140137,3696830000
11,2022-08-16,4290.459961,4325.279785,4277.77002,4305.200195,4305.200195,4329820000
12,2022-08-17,4280.399902,4302.180176,4253.080078,4274.040039,4274.040039,3885030000
13,2022-08-18,4273.129883,4292.529785,4261.97998,4283.740234,4283.740234,3340330000
14,2022-08-19,4266.310059,4266.310059,4218.700195,4228.47998,4228.47998,3761340000
15,2022-08-22,4195.080078,4195.080078,4129.859863,4137.990234,4137.990234,3907430000
16,2022-08-23,4133.089844,4159.77002,4124.029785,4128.72998,4128.72998,3823520000
17,2022-08-24,4126.549805,4156.560059,4119.970215,4140.77002,4140.77002,3583630000
18,2022-08-25,4153.259766,4200.540039,4147.589844,4199.120117,4199.120117,3566870000
19,2022-08-26,4198.740234,4203.040039,4057.659912,4057.659912,4057.659912,3832750000
20,2022-08-29,4034.580078,4062.98999,4017.419922,4030.610107,4030.610107,3396510000
21,2022-08-30,4041.25,4044.97998,3965.209961,3986.159912,3986.159912,3835860000
22,2022-08-31,4000.669922,4015.370117,3954.530029,3955.0,3955.0,4542490000
23,2022-09-01,3936.72998,3970.22998,3903.649902,3966.850098,3966.850098,4152250000
24,2022-09-02,3994.659912,4018.429932,3906.209961,3924.26001,3924.26001,3665850000
25,2022-09-06,3930.889893,3942.550049,3886.75,3908.189941,3908.189941,4127340000
26,2022-09-07,3909.429932,3987.889893,3906.030029,3979.870117,3979.870117,3890320000
27,2022-09-08,3959.939941,4010.5,3944.810059,4006.179932,4006.179932,3966850000
28,2022-09-09,4022.939941,4076.810059,4022.939941,4067.360107,4067.360107,3901940000
29,2022-09-12,4083.669922,4119.279785,4083.669922,4110.410156,4110.410156,3814200000
30,2022-09-13,4037.120117,4037.120117,3921.280029,3932.689941,3932.689941,4224550000
31,2022-09-14,3940.72998,3961.939941,3912.179932,3946.01001,3946.01001,4293240000
32,2022-09-15,3932.409912,3959.139893,3888.280029,3901.350098,3901.350098,4441830000
33,2022-09-16,3880.949951,3880.949951,3837.080078,3873.330078,3873.330078,7954650000
34,2022-09-19,3849.909912,3900.449951,3838.5,3899.889893,3899.889893,3766850000
35,2022-09-20,3875.22998,3876.01001,3827.540039,3855.929932,3855.929932,4058050000
36,2022-09-21,3871.399902,3907.070068,3789.48999,3789.929932,3789.929932,4078330000
37,2022-09-22,3782.360107,3790.899902,3749.449951,3757.98999,3757.98999,4284600000
38,2022-09-23,3727.139893,3727.139893,3647.469971,3693.22998,3693.22998,5144270000
39,2022-09-26,3682.719971,3715.669922,3644.76001,3655.040039,3655.040039,4886140000
40,2022-09-27,3686.439941,3717.530029,3623.290039,3647.290039,3647.290039,4577740000
41,2022-09-28,3651.939941,3736.73999,3640.610107,3719.040039,3719.040039,4684850000
42,2022-09-29,3687.01001,3687.01001,3610.399902,3640.469971,3640.469971,4681810000
43,2022-09-30,3633.47998,3671.439941,3584.129883,3585.620117,3585.620117,5645360000
44,2022-10-03,3609.780029,3698.350098,3604.929932,3678.429932,3678.429932,4806680000
45,2022-10-04,3726.459961,3791.919922,3726.459961,3790.929932,3790.929932,5146580000
46,2022-10-05,3753.25,3806.909912,3722.659912,3783.280029,3783.280029,4293180000
47,2022-10-06,3771.969971,3797.929932,3739.219971,3744.52002,3744.52002,4252100000
48,2022-10-07,3706.73999,3706.73999,3620.72998,3639.659912,3639.659912,4449660000
49,2022-10-10,3647.51001,3652.169922,3588.100098,3612.389893,3612.389893,3834320000
50,2022-10-11,3595.860107,3640.659912,3568.449951,3588.840088,3588.840088,4759030000
51,2022-10-12,3590.830078,3608.340088,3573.860107,3577.030029,3577.030029,4006830000
52,2022-10-13,3520.370117,3685.409912,3491.580078,3669.909912,3669.909912,5021680000
53,2022-10-14,3690.409912,3712.0,3579.679932,3583.070068,3583.070068,4243030000
54,2022-10-17,3638.649902,3689.72998,3638.649902,3677.949951,3677.949951,4352780000
55,2022-10-18,3746.26001,3762.790039,3686.530029,3719.97998,3719.97998,4483740000
56,2022-10-19,3703.110107,3728.580078,3666.51001,3695.159912,3695.159912,4223800000
57,2022-10-20,3689.050049,3736.0,3656.439941,3665.780029,3665.780029,4496620000
58,2022-10-21,3657.100098,3757.889893,3647.419922,3752.75,3752.75,5078020000
59,2022-10-24,3762.01001,3810.73999,3741.649902,3797.340088,3797.340088,4747930000
60,2022-10-25,3799.439941,3862.850098,3799.439941,3859.110107,3859.110107,4843120000
61,2022-10-26,3825.969971,3886.149902,3824.070068,3830.600098,3830.600098,4817310000
62,2022-10-27,3834.689941,3859.949951,3803.790039,3807.300049,3807.300049,4687320000
63,2022-10-28,3808.26001,3905.419922,3808.26001,3901.060059,3901.060059,4459410000
