date,mktrf,exret
2022/9/2,-0.0099,-0.025485567
2022/9/6,-0.0051,0.015370426
2022/9/7,0.0192,0.033167556
2022/9/8,0.0078,0.019318587
2022/9/9,0.0167,0.035299243
2022/9/12,0.0107,0.015603157
2022/9/13,-0.0429,-0.041299446
2022/9/14,0.0044,0.035155874
2022/9/15,-0.0103,0.003670195
2022/9/16,-0.0098,-0.00140772
2022/9/19,0.0072,0.018590538
2022/9/20,-0.0116,-0.001190668
2022/9/21,-0.0168,-0.026111593
2022/9/22,-0.0114,-0.041528568
2022/9/23,-0.0185,-0.047126654
2022/9/26,-0.0102,0.002376803
2022/9/27,-0.0005,0.024707737
2022/9/28,0.0215,0.016975662
2022/9/29,-0.0217,-0.070620308
2022/9/30,-0.0142,-0.011187446
2022/10/3,0.0255,-0.090193548
2022/10/4,0.033,0.028519186
2022/10/5,-0.0022,-0.035320184
2022/10/6,-0.0086,-0.011301467
2022/10/7,-0.0291,-0.065441107
2022/10/10,-0.0081,-0.000603243
2022/10/11,-0.007,-0.029511866
2022/10/12,-0.0027,0.003302211
2022/10/13,0.024,0.020302572
2022/10/14,-0.0246,-0.078564106
2022/10/17,0.0274,0.067597431
2022/10/18,0.0119,0.003712166
2022/10/19,-0.0087,0.008256695
2022/10/20,-0.008,-0.068896985
2022/10/21,0.023,0.03384946
2022/10/24,0.0103,-0.015097724
2022/10/25,0.0178,0.051415212
2022/10/26,-0.0066,0.00982164
2022/10/27,-0.0054,0.001891188
2022/10/28,0.0233,0.015013447
2022/10/31,-0.0067,-0.004407735
2022/11/1,-0.0035,0.001089858
2022/11/2,-0.0267,-0.058150895
2022/11/3,-0.0103,0.001393858
2022/11/4,0.0116,-0.037232082
2022/11/7,0.0087,-0.05151701
2022/11/8,0.005,-0.029906855
2022/11/9,-0.0225,-0.07450539
2022/11/10,0.0568,0.071188888
2022/11/11,0.0107,0.027015202
2022/11/14,-0.0095,-0.026089995
2022/11/15,0.0103,0.01786916
2022/11/16,-0.0103,-0.03948005
2022/11/17,-0.0042,-0.020406035
2022/11/18,0.004,-0.01654281
2022/11/21,-0.0053,-0.070962022
2022/11/22,0.0135,0.011939065
2022/11/23,0.0063,0.075169529
2022/11/25,-0.0002,-0.0019976
2022/11/28,-0.0155,0.000188053
2022/11/29,-0.0018,-0.011631515
2022/11/30,0.0312,0.073762523
2022/12/1,-0.0002,-0.00016
2022/12/2,-0.0008,0.000661458
2022/12/5,-0.0202,-0.065965209
2022/12/6,-0.0151,-0.014679755
2022/12/7,-0.0024,-0.032831272
2022/12/8,0.0077,-0.003613387
2022/12/9,-0.008,0.031673381
2022/12/12,0.0141,-0.064933093
2022/12/13,0.0066,-0.041958281
2022/12/14,-0.0056,-0.026282611
2022/12/15,-0.0257,0.005373102
2022/12/16,-0.0102,-0.048496805
2022/12/19,-0.0101,-0.002559206
2022/12/20,0.0013,-0.084124838
2022/12/21,0.0152,-0.001830449
2022/12/22,-0.0152,-0.093183119
2022/12/23,0.0051,-0.017866675
2022/12/27,-0.0051,-0.121298258
2022/12/28,-0.0123,0.032393261
2022/12/29,0.0187,0.077566403
2022/12/30,-0.0022,0.01094216
