Date,spy,ko,pep,usdx
2020-08-04,0.003854994814368289,0.008387799033156089,0.005617097998485341,-0.001284276164808909
2020-08-05,0.0061915803577620955,0.011287547374932174,-0.008914119085558872,-0.00590727699317517
2020-08-06,0.006662480509791268,0.005491169578830142,-0.0028663678670440063,-0.0004309979049096572
2020-08-07,0.0007176423381330168,0.006717000957623137,0.006456351147504596,0.00698065997623259
2020-08-10,0.0029844549628680866,-0.0016751565258969032,-0.005573511708402567,0.0014971597968210537
2020-08-11,-0.008289094034365462,0.004391020765806733,-0.006344787207606138,0.0005341106115732474
2020-08-12,0.013846139965521986,0.010377965514027837,0.01964030909637139,-0.002031270408394264
2020-08-13,-0.0018094578534614458,-0.0010328164902609154,0.0021745909561440117,-0.0010708439203949483
2020-08-14,2.976112902947565e-05,0.001445575583550706,-0.003917759300351463,-0.0025745333942405785
2020-08-17,0.003171775677134113,-0.0049658629947241855,0.0026135241787255716,-0.0026888965284360593
2020-08-18,0.002157746351280812,0.004346487819011845,0.0013768162018232763,-0.006266246156081086
2020-08-19,-0.004172084397060261,-0.02192377039852508,-0.012092325329216847,0.006696965619910175
2020-08-20,0.003108563124892665,-0.00042243643729876577,0.001976703065245862,-0.0010771055969901347
2020-08-21,0.0035409318683364307,-0.0014792714599437757,-0.0019033658624865923,0.004945173292177445
2020-08-24,0.010082331319644155,0.014488257442580312,0.008610041552217677,0.0005360820384595766
2020-08-25,0.003493103503785417,-0.0012513666932067599,-0.002473427578865632,-0.0030056528547335207
2020-08-26,0.00997571666521297,0.005204567548616428,0.00848556367118956,-0.00010745048552533449
2020-08-27,0.0021841801708689075,0.0014524344657831669,-0.0005055986987293177,0.0
2020-08-28,0.006438464588836477,0.03263606872776208,0.011065611750286995,-0.006904756883039733
2020-08-31,-0.0036289468132326324,-0.006038803516070479,0.0008572886280626592,-0.002493127455491018
2020-09-01,0.009374525834361469,-0.00831224680251872,-0.006231283781275574,0.002168224536276038
2020-09-02,0.014360358303988557,0.04127772317478131,0.02903061408840461,0.0055078939450372375
2020-09-03,-0.03502044348023177,-0.013966856875402788,-0.020573199059600998,-0.0011854154362119266
