Date,AAPL,AMZN,GOOGL,MSFT
2015-01-02,24.531768798828125,15.425999641418457,26.477500915527344,40.62065505981445
2015-01-05,23.84065818786621,15.10949993133545,25.972999572753906,40.24713134765625
2015-01-06,23.842914581298828,14.76449966430664,25.332000732421875,39.65640640258789
2015-01-07,24.177242279052734,14.920999526977539,25.25749969482422,40.160247802734375
2015-01-08,25.106185913085938,15.02299976348877,25.345500946044922,41.34168243408203
2015-01-09,25.133113861083984,14.846500396728516,25.035999298095703,40.99420166015625
2015-01-12,24.513813018798828,14.570500373840332,24.85300064086914,40.481666564941406
2015-01-13,24.73146629333496,14.737000465393066,25.09000015258789,40.27318572998047
2015-01-14,24.63722801208496,14.66349983215332,25.296499252319336,39.92570877075195
2015-01-15,23.968564987182617,14.34749984741211,25.20050048828125,39.50872039794922
2015-01-16,23.782323837280273,14.536999702453613,25.523000717163086,40.16893768310547
2015-01-20,24.394893646240234,14.472000122070312,25.496999740600586,40.29924774169922
2015-01-21,24.58112907409668,14.862500190734863,26.019500732421875,39.89094543457031
2015-01-22,25.220617294311523,15.515999794006348,26.864999771118164,40.942081451416016
2015-01-23,25.35076332092285,15.619500160217285,27.09749984741211,40.985538482666016
2015-01-26,25.377689361572266,15.482999801635742,26.836000442504883,40.83784103393555
2015-01-27,24.489131927490234,15.337499618530273,26.059499740600586,37.0589714050293
2015-01-28,25.873573303222656,15.195500373840332,25.62150001525879,35.78199005126953
2015-01-29,26.679109573364258,15.58899974822998,25.661500930786133,36.494319915771484
2015-01-30,26.28868293762207,17.726499557495117,26.877500534057617,35.095703125
2015-02-02,26.618526458740234,18.223499298095703,26.610000610351562,35.86015701293945
2015-02-03,26.623010635375977,18.177499771118164,26.665000915527344,36.138153076171875
2015-02-04,26.82719612121582,18.237499237060547,26.30500030517578,36.34663009643555
2015-02-05,27.018672943115234,18.694499969482422,26.491500854492188,36.87655258178711
2015-02-06,26.79115867614746,18.714000701904297,26.694000244140625,36.841800689697266
2015-02-09,26.969120025634766,18.527999877929688,26.464000701904297,36.7983512878418
2015-02-10,27.487232208251953,18.649999618530273,27.007999420166016,37.00684356689453
2015-02-11,28.13150405883789,18.756999969482422,26.899999618530273,36.815738677978516
2015-02-12,28.4874210357666,18.85849952697754,27.300500869750977,37.43251419067383
2015-02-13,28.627094268798828,19.09149932861328,27.558000564575195,38.110107421875
2015-02-17,28.796045303344727,18.771499633789062,27.250499725341797,38.12759780883789
2015-02-18,28.996536254882812,18.668500900268555,27.13249969482422,38.083858489990234
2015-02-19,28.935707092285156,18.950000762939453,27.322500228881836,38.057613372802734
2015-02-20,29.172243118286133,19.183000564575195,27.09000015258789,38.37257385253906
2015-02-23,29.960683822631836,19.006999969482422,26.75,38.62628936767578
2015-02-24,29.773710250854492,18.929500579833984,26.9325008392334,38.57380294799805
2015-02-25,29.01230239868164,19.26849937438965,27.366500854492188,38.48630905151367
2015-02-26,29.379487991333008,19.239999771118164,27.964500427246094,38.54755783081055
2015-02-27,28.937965393066406,19.007999420166016,28.131500244140625,38.36382293701172
2015-03-02,29.07988166809082,19.283000946044922,28.750999450683594,38.39007568359375
2015-03-03,29.14070701599121,19.230499267578125,28.93950080871582,37.865142822265625
2015-03-04,28.955982208251953,19.13599967956543,28.916500091552734,37.67265701293945
2015-03-05,28.476165771484375,19.39150047302246,29.071500778198242,37.716400146484375
2015-03-06,28.51896858215332,19.004499435424805,28.645000457763672,37.060237884521484
2015-03-09,28.640615463256836,18.92799949645996,28.704999923706055,37.48893737792969
2015-03-10,28.048158645629883,18.475500106811523,27.99250030517578,36.77153396606445
2015-03-11,27.53679084777832,18.318500518798828,27.784500122070312,36.727779388427734
2015-03-12,28.03463363647461,18.711999893188477,28.058500289916992,35.887901306152344
2015-03-13,27.84090805053711,18.52899932861328,27.649999618530273,36.20286178588867
2015-03-16,28.14727210998535,18.667499542236328,28.082000732421875,36.360328674316406
2015-03-17,28.618083953857422,18.59600067138672,27.88050079345703,36.48281478881836
2015-03-18,28.940216064453125,18.756999969482422,28.308000564575195,37.18272399902344
2015-03-19,28.72170639038086,18.66200065612793,28.183500289916992,36.99900817871094
2015-03-20,28.361276626586914,18.92449951171875,28.247499465942383,37.51518630981445
2015-03-23,28.656381607055664,18.75550079345703,28.26849937438965,37.497684478759766
2015-03-24,28.539247512817383,18.704500198364258,28.87700080871582,37.532684326171875
2015-03-25,27.793594360351562,18.54800033569336,28.350000381469727,36.272850036621094
2015-03-26,27.987333297729492,18.36750030517578,28.18199920654297,36.054134368896484
2015-03-27,27.764318466186523,18.527999877929688,27.877500534057617,35.844146728515625
2015-03-30,28.467153549194336,18.72949981689453,28.05699920654297,35.83539962768555
2015-03-31,28.030128479003906,18.604999542236328,27.735000610351562,35.57292938232422
2015-04-01,27.98957633972168,18.51300048828125,27.47450065612793,35.625423431396484
2015-04-02,28.23061752319336,18.612499237060547,27.065500259399414,35.249229431152344
2015-04-06,28.687910079956055,18.851999282836914,27.197500228881836,36.35158920288086
2015-04-07,28.386056900024414,18.720500946044922,27.243000030517578,36.334075927734375
2015-04-08,28.293704986572266,19.059999465942383,27.441999435424805,36.237850189208984
2015-04-09,28.50995445251465,19.177000045776367,27.400999069213867,36.29033660888672
2015-04-10,28.631593704223633,19.13249969482422,27.427000045776367,36.500308990478516
2015-04-13,28.57527732849121,19.118000030517578,27.43199920654297,36.535308837890625
2015-04-14,28.451387405395508,19.25550079345703,26.98900032043457,36.43907165527344
2015-04-15,28.55951499938965,19.172500610351562,27.052000045776367,36.972747802734375
